source,fire_id,fuel_model_code,temp_c,rh_percent,wind_speed_ms,wind_dir,slope_pct,slope_aspect_deg,angle_wind_slope,m_1h,m_10h,m_100h,m_live_herb,m_live_woody,latitude,longitude,date,region,continent,ros_measured,ros_rothermel,phi_w,phi_s,phi_eff,beta,beta_opt,gamma,eta_M,eta_S,I_R_kW_m2,xi,tau_min,fireline_intensity,flame_length,delta_ros,correction_factor,bias_profile,bias_source,w_total_kg_m2,w_dead_kg_m2,w_live_kg_m2,delta_m,sigma_m2_m3,mx_percent,h_dead_kj_kg,vpd_kpa,ndvi,ndvi_origin,ndwi,ndwi_origin,lst_c,lst_c_origin
GlobalTransfer,GBL_0000,GR2,18.624904802531933,8.182433546250612,6.031730178977083,279.0834578743236,26.20235426359685,196.9662927052139,82.11716516910968,0.11363272220347126,0.13650057208713745,0.2245980081950777,1.5199631588436455,2.655863889646719,41.92671450063681,-111.30046120044466,2020-05-20,global,africa,14.070760035206211,15.175901097444699,23.38954330912389,1.0993222385914774,23.565485582191133,0.024694122351059576,0.004734564308992334,8.782945666736023,0.5164932063366636,0.4173969279093913,2263.379738900468,0.1201515669131894,0.1272496941340557,4370.877737695695,3.6640659791600685,-1.1051410622384878,0.9271778950625496,global_transfer,Biais moyen global (méta-analyse FRIDGE),3.8600000000000003,1.66,2.2,0.305,10499.0,15,18608,1.9708599280931622,0.1916376551765785,offline,0.04581882758828924,offline,28.624904802531933,offline
GlobalTransfer,GBL_0001,SH2,24.81270581031404,38.418512132907416,4.088138362832059,210.48719363310764,26.952892123817715,4.698218102554419,154.21102446944678,0.1455556566313269,0.04923095757627967,0.1789296440843427,1.4979663205981804,1.5987495431087455,32.879929613997824,-70.35804352029058,2013-06-22,global,africa,27.854516768485293,28.368939849173007,15.932696991500736,0.394858259393908,15.578112834893336,0.9049820071971211,0.004994469074718289,3.0489668654672513,0.43257841020455584,0.4173969279093913,24116.62377493253,1.0,0.1358309698612949,92930.53052101344,14.95046064418902,-0.5144230806877133,0.9818666794239507,global_transfer,Biais moyen global (méta-analyse FRIDGE),141.45999999999998,76.3,65.16,0.305,10499.0,15,18608,1.9291070236818537,0.1394309486985585,offline,0.05365856921913509,offline,34.81270581031404,offline
GlobalTransfer,GBL_0002,GR2,14.84742701569405,45.479178858233965,1.5381352578062724,53.02240110101672,20.451717187843563,73.07346692267123,20.05106582165451,0.17665451324725967,0.2816498302719628,0.21296070029098968,0.5810704104850997,1.3085194291287996,32.10729549448392,-110.94729582625865,2023-07-23,global,africa,3.6254029844174736,3.743994982847901,4.555369339984436,0.6697364601695703,5.189593927441394,0.024694122351059576,0.004734564308992334,8.782945666736023,0.37871388146189205,0.4173969279093913,1659.6023251126219,0.1201515669131894,0.1272496941340557,790.6714180840913,1.6687062048727035,-0.11859199843042756,0.9683247442975419,global_transfer,Biais moyen global (méta-analyse FRIDGE),3.8600000000000003,1.66,2.2,0.305,10499.0,15,18608,0.920675116578974,0.09958019223608991,offline,-0.00020990388195504806,offline,24.847427015694052,offline
GlobalTransfer,GBL_0003,GS1,35.15103086508424,37.44932580453195,11.953705103589265,56.398495232142224,18.055184350325113,168.7075502738638,112.30905504172158,0.16397689044507133,0.10407537044905874,0.3004822636411588,1.5039858658933227,1.016068067448179,30.29476709091336,-113.0494887119613,2020-09-12,global,africa,5.984032278041279,7.009901223064002,24.997592349155028,0.44641193158379483,24.831568041227754,0.04158803631831939,0.004678388636554605,4.273094174055576,0.235561375097594,0.4173969279093913,759.8444609382478,0.23536814825360092,0.12540840406381637,667.9796645515338,1.5441617609018388,-1.0258689450227232,0.8536542937798601,global_transfer,Biais moyen global (méta-analyse FRIDGE),5.84,3.32,2.52,0.274,10499.0,15,18608,3.5464901317757573,0.11509593595313303,offline,0.007547967976566511,offline,45.15103086508424,offline
GlobalTransfer,GBL_0004,GR3,15.546950402815956,61.42449659875904,0.9092966836044836,304.7915421165945,7.792814303624112,308.4973035590804,3.7057614424859366,0.1305371719485876,0.11678408188150895,0.36919183417621176,0.8982024568657834,2.516737610619365,42.9320923989045,-79.2387448187219,2018-06-01,global,africa,3.4226923242021337,3.593750014297168,1.6273638694812465,0.0860114743158322,1.7132045239008618,0.03716913234706117,0.004832515111649982,5.256285218515568,0.4001818086482921,0.4173969279093913,3159.4224768138965,0.18522923610973388,0.13047180848784293,1481.3996901938478,2.22746524900048,-0.17105769009503424,0.952401338597702,global_transfer,Biais moyen global (méta-analyse FRIDGE),11.62,8.35,3.27,0.61,7874.0,30,18608,0.68137142476608,0.14889290095638308,offline,0.024446450478191536,offline,25.546950402815956,offline
GlobalTransfer,GBL_0005,SH2,10.652842612289517,10.082656830689858,4.240562054031371,71.24319204448473,7.364406257724571,13.115099228132618,58.12809281635211,0.147660964087974,0.25104067877160297,0.10784100190003584,0.8097198562448344,2.8173342468962037,41.76168426442247,-118.62275221917524,2016-05-26,global,africa,17.579690222197446,19.752786659426544,16.553222660985657,0.029478539125604095,16.56880689067959,0.9049820071971211,0.004994469074718289,3.0489668654672513,0.304129048720326,0.4173969279093913,16955.459805652084,1.0,0.1358309698612949,45492.179749434705,10.763477464782948,-2.1730964372290984,0.889985323352235,global_transfer,Biais moyen global (méta-analyse FRIDGE),141.45999999999998,76.3,65.16,0.305,10499.0,15,18608,1.1533941916443053,0.18682366127180564,offline,0.08209419676308338,offline,20.65284261228952,offline
GlobalTransfer,GBL_0006,SH1,26.435204953664247,64.17080076097297,13.960242764922203,277.2177902074914,26.9688092530043,309.80602626650415,32.58823605901273,0.07261826337692459,0.29157022920704356,0.21353434858613896,0.9147525235883387,2.4130550785461526,40.55514869957076,-102.17325895340895,2012-07-13,global,africa,28.809190039458404,30.353432511651928,24.999944289151927,0.8406521199613121,25.71223347182295,0.07318672530987605,0.004580750629118077,3.508417757242506,0.2521998195638733,0.4173969279093913,1308.420699393239,0.8461632258666014,0.12221973457401891,4853.964017955983,3.845086521859734,-1.544242472193524,0.9491246180608823,global_transfer,Biais moyen global (méta-analyse FRIDGE),11.440000000000001,8.3,3.14,0.305,10499.0,15,18608,1.2357110255465051,0.14736219898864208,offline,0.058417319393185244,offline,36.43520495366425,offline
GlobalTransfer,GBL_0007,GR2,29.035398340369515,63.62896211872456,9.557080741183848,147.94556134346797,14.555674913275734,177.18728281459494,29.241721471126965,0.07685079662554034,0.26353258834860316,0.08937901792552494,0.8779909313156271,0.6339391735241311,35.95769846182607,-105.43131063572497,2011-05-22,global,africa,17.41050125381972,19.9141472131058,24.966366575645424,0.3392415823489678,25.26292098683307,0.024694122351059576,0.004734564308992334,8.782945666736023,0.569746118862754,0.4173969279093913,2496.744983148088,0.1201515669131894,0.1272496941340557,6326.924416760182,4.343604954165407,-2.5036459592860787,0.8742780229304324,global_transfer,Biais moyen global (méta-analyse FRIDGE),3.8600000000000003,1.66,2.2,0.305,10499.0,15,18608,1.4598894869305545,0.15547261996274456,offline,0.027736309981372276,offline,39.03539834036951,offline
GlobalTransfer,GBL_0008,GS2,22.704957980317637,14.803067727343432,5.848321978938227,238.4582292181837,30.917812584841187,342.27099108527597,103.81276186709226,0.16428590694162318,0.28374226615630493,0.28262265839416373,1.4879278071335964,2.623262726946195,41.42229790455388,-90.23916572766421,2023-07-25,global,africa,0.009715545222923274,0.01,23.053348933450334,1.064096868915564,22.8227005465528,0.08295885147035277,0.00443864060959128,3.6816267194442047,4.440892098500626e-16,0.4173969279093913,4.106275507227225e-12,1.0,0.11760556090328755,4.561329494090347e-26,1.7079838793423685e-13,-0.00028445477707672584,0.9715545222923274,global_transfer,Biais moyen global (méta-analyse FRIDGE),19.43,15.92,3.5100000000000002,0.457,10499.0,15,18608,2.351172047770262,0.10168531341454459,offline,0.0008426567072722935,offline,32.70495798031764,offline
GlobalTransfer,GBL_0009,GR3,29.00815581232795,8.691441979855014,11.047476566691428,163.88742104581948,15.512125115054491,334.86738406225436,170.97996301643488,0.09072375734560684,0.23087359913122008,0.15102063192343979,0.7386705868660851,1.639111767853742,47.82157340677206,-84.32756001337273,2014-10-10,global,africa,27.615145593604623,31.2836838489466,24.98586809980925,0.3408084348873265,24.649332159187924,0.03716913234706117,0.004832515111649982,5.256285218515568,0.3783882328111518,0.4173969279093913,2987.3628982373903,0.18522923610973388,0.13047180848784293,12193.336338827878,5.873785422540034,-3.668538255341975,0.8827331757648643,global_transfer,Biais moyen global (méta-analyse FRIDGE),11.62,8.35,3.27,0.61,7874.0,30,18608,3.659250670850961,0.16260183832664596,offline,0.03130091916332298,offline,39.00815581232795,offline
